Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.050092243,6.931228161,2.721367121,-17.55031357,-83.175557,-71.97841011,-12.411532,16.799118,24.405571,15.034292,27.477016,-15.000033,-13.959391,-19.946852,-26.077242,21.85505,20.737215,6.291989,-1.4103477,-3.5364304,-1.7041683,8.43036,26.291782,-24.71134,69.59222,16.934286,11.349617,1.8604316,8.026969,-18.912235,8.212541,75.32063,-52.389732,3.8589888,11.485919
1,-0.048137717,6.932711601,2.719755888,-17.52449192,-83.18166304,-72.01092336,-12.407854,16.81232,24.428614,15.053927,27.438847,-15.000033,-13.9515505,-19.936897,-26.077532,21.84918,20.744484,6.2917366,-1.4170755,-3.533038,-1.7019173,8.469458,26.316256,-24.68534,69.54908,16.999537,11.363144,1.8267882,8.018713,-18.899471,8.134629,75.339775,-52.610878,3.8281965,11.499724
2,-0.05114501,6.930528641,2.723093033,-17.50724988,-83.18779443,-72.03543854,-12.405847,16.827255,24.452557,15.078453,27.3967,-15.000033,-13.943309,-19.925776,-26.077528,21.843048,20.751953,6.291655,-1.4255085,-3.5243719,-1.7061645,8.495894,26.32662,-24.666557,69.52977,17.065535,11.376541,1.7952534,8.009244,-18.891598,8.062865,75.36585,-52.836464,3.796241,11.514545
3,-0.052259203,6.930500031,2.725081444,-17.48226524,-83.1935517,-72.06721725,-12.400855,16.839115,24.474398,15.09316,27.362982,-15.000033,-13.934815,-19.915567,-26.07859,21.834927,20.760494,6.29108,-1.4220701,-3.5173578,-1.7014866,8.512651,26.338118,-24.650814,69.50754,17.13031,11.388779,1.766463,8.010447,-18.880318,7.968488,75.37644,-53.056126,3.7660248,11.527006
4,-0.051759388,6.930737019,2.724787712,-17.44563964,-83.19783322,-72.10840595,-12.402148,16.849192,24.487238,15.113536,27.33313,-15.000033,-13.932516,-19.910686,-26.080221,21.8348,20.764297,6.2891197,-1.410987,-3.5150883,-1.696368,8.517719,26.349308,-24.646818,69.49215,17.172102,11.399507,1.7458862,8.023264,-18.867907,7.882453,75.37091,-53.222813,3.745027,11.534785
5,-0.0509766,6.932441711,2.724306345,-17.3882801,-83.19935907,-72.16691197,-12.403096,16.853981,24.492548,15.121213,27.318129,-15.000033,-13.935292,-19.909523,-26.084185,21.83496,20.76789,6.2842937,-1.4083681,-3.5148528,-1.7007967,8.52244,26.355726,-24.645752,69.48822,17.17728,11.407102,1.7382023,8.024795,-18.860062,7.838888,75.37286,-53.303837,3.7327344,11.535221
6,-0.05296598,6.933531284,2.72359252,-17.31974866,-83.19910544,-72.23565372,-12.405316,16.855768,24.49198,15.123225,27.312094,-15.000033,-13.941713,-19.911097,-26.089687,21.836617,20.770254,6.2774425,-1.4075722,-3.516377,-1.7069423,8.524996,26.35891,-24.644796,69.48789,17.16069,11.412883,1.7394226,8.025196,-18.855982,7.815243,75.36993,-53.330578,3.727204,11.530664
7,-0.052556768,6.932196617,2.721495867,-17.25287427,-83.19833386,-72.30080027,-12.407402,16.853325,24.485308,15.12051,27.314596,-15.000033,-13.949588,-19.916582,-26.095741,21.841425,20.771223,6.271454,-1.4018477,-3.5205057,-1.7091181,8.524766,26.3633,-24.645947,69.48357,17.140688,11.417409,1.7431566,8.028876,-18.850712,7.788687,75.36164,-53.338284,3.725396,11.52452
8,-0.054323573,6.929382801,2.720451593,-17.22372509,-83.19740693,-72.32507752,-12.405306,16.844416,24.47323,15.109838,27.327406,-15.000033,-13.954641,-19.926893,-26.102007,21.848238,20.771175,6.2693152,-1.3933501,-3.5277672,-1.7095875,8.520708,26.369957,-24.653147,69.48026,17.128546,11.419061,1.7423551,8.035082,-18.843237,7.7649803,75.35625,-53.345673,3.724545,11.520934
9,-0.056233983,6.928111553,2.723516226,-17.23111656,-83.19719454,-72.31123541,-12.402671,16.830383,24.44842,15.09686,27.352936,-15.000033,-13.95444,-19.94081,-26.110296,21.855877,20.770916,6.271999,-1.3912481,-3.5322278,-1.7094117,8.519221,26.371504,-24.655895,69.477234,17.131718,11.416431,1.7365232,8.036921,-18.841652,7.7626734,75.36052,-53.346382,3.7240498,11.522782
10,-0.059451908,6.92963028,2.726244926,-17.28959428,-83.1966842,-72.23506337,-12.387094,16.795687,24.417496,15.055479,27.402029,-15.000033,-13.956268,-19.971914,-26.115553,21.877522,20.76399,6.2804356,-1.3837092,-3.548634,-1.7079357,8.51038,26.375938,-24.671066,69.47602,17.139458,11.410457,1.7255119,8.042023,-18.837746,7.7619333,75.370186,-53.33648,3.725322,11.52625
11,-0.058529332,6.930690765,2.728331804,-17.34865841,-83.1955597,-72.16420799,-12.378509,16.77006,24.385496,15.027689,27.444635,-15.000033,-13.95481,-19.995153,-26.123613,21.891102,20.760675,6.288354,-1.3785257,-3.558849,-1.7057822,8.503624,26.378517,-24.681044,69.474464,17.148947,11.404354,1.7165853,8.045513,-18.835821,7.7654414,75.37825,-53.324867,3.7281458,11.529687
12,-0.055425953,6.930968761,2.725907564,-17.38345917,-83.19358442,-72.11993868,-12.371829,16.750597,24.367252,15.005137,27.474882,-15.000033,-13.956133,-20.013538,-26.1295,21.90151,20.758932,6.2945666,-1.3751677,-3.5680764,-1.7085918,8.498431,26.381607,-24.693653,69.47604,17.149258,11.401778,1.7113926,8.04916,-18.833479,7.7701874,75.3828,-53.316753,3.7323067,11.53082
13,-0.054207943,6.931298256,2.725188732,-17.37056229,-83.18999426,-72.13170906,-12.373162,16.746723,24.365862,14.998352,27.485556,-15.000033,-13.959203,-20.018612,-26.135313,21.900703,20.76198,6.2969847,-1.376584,-3.5698626,-1.7160586,8.498709,26.38348,-24.69896,69.47877,17.140583,11.404605,1.7129239,8.05137,-18.831684,7.7702875,75.37963,-53.32114,3.7388825,11.527537
14,-0.054902911,6.930342197,2.725618124,-17.33405912,-83.1847737,-72.17202032,-12.386905,16.756195,24.372229,15.015765,27.476904,-15.000033,-13.965054,-20.015692,-26.14127,21.896425,20.766014,6.297376,-1.3783323,-3.568316,-1.726076,8.502866,26.387608,-24.703144,69.47885,17.12615,11.411085,1.7188836,8.055921,-18.826628,7.7635117,75.36883,-53.33505,3.7496843,11.520817
15,-0.055714685,6.927651405,2.727368593,-17.2975491,-83.17994696,-72.21456239,-12.3999195,16.76898,24.38323,15.034202,27.46256,-15.000033,-13.968615,-20.008577,-26.148088,21.88747,20.772577,6.2972546,-1.3806522,-3.5646067,-1.7328782,8.508869,26.391764,-24.702444,69.475845,17.115734,11.41845,1.7263061,8.060796,-18.820837,7.754275,75.353714,-53.35135,3.7593424,11.514704
16,-0.055666037,6.928976059,2.729048252,-17.27640907,-83.17736094,-72.24113799,-12.406941,16.778452,24.393446,15.046302,27.447454,-15.000033,-13.96869,-20.003235,-26.155266,21.880482,20.77863,6.298454,-1.3813529,-3.5622642,-1.7348546,8.51382,26.395498,-24.702751,69.47121,17.113253,11.423684,1.732038,8.06457,-18.815779,7.7487392,75.34165,-53.360733,3.7639344,11.512688
17,-0.05314194,6.930164814,2.731168747,-17.27532331,-83.178588,-72.24728061,-12.406883,16.785606,24.404284,15.054634,27.424675,-15.000033,-13.962398,-20.000063,-26.165993,21.876204,20.78397,6.3026953,-1.3794798,-3.5601938,-1.7308065,8.515833,26.398617,-24.707596,69.46771,17.120872,11.424946,1.7363782,8.066764,-18.812521,7.7524667,75.33505,-53.356194,3.7594976,11.517905
18,-0.053978607,6.927148342,2.731781006,-17.28569116,-83.18130746,-72.24089224,-12.401392,16.79061,24.418802,15.058019,27.39611,-15.000033,-13.953696,-19.998533,-26.177942,21.873833,20.788933,6.309004,-1.3766822,-3.5575604,-1.7222872,8.516793,26.399845,-24.711998,69.46339,17.136665,11.423875,1.7402118,8.067599,-18.811754,7.7577763,75.33026,-53.34827,3.748814,11.527215
19,-0.05242949,6.929633141,2.731161118,-17.30190633,-83.18562158,-72.22962003,-12.396416,16.79718,24.428251,15.064828,27.368855,-15.000033,-13.942638,-19.994352,-26.188358,21.869665,20.794876,6.313476,-1.3737712,-3.5554938,-1.7162738,8.51677,26.40233,-24.724403,69.46279,17.147839,11.423627,1.7434323,8.068792,-18.811398,7.7747116,75.32905,-53.32659,3.7380316,11.538177
